epoch,accuracy,precision,recall,f1
0.9997610513739545,0.8557283032393924,0.8906354196437077,0.8185798091235443,0.853088785473127
2.0,0.9031318607464492,0.9004411383098347,0.9114788547412661,0.9059263771647376
2.9997610513739543,0.9240557372642143,0.938898916967509,0.9108659486910078,0.9246700146660148
4.0,0.9331511268426005,0.9358265297164428,0.9333683565362052,0.9345958267578467
4.999761051373954,0.9353913705811192,0.9401852668725188,0.933105682514666,0.9366320970293549
6.0,0.9376316143196379,0.9346450550403052,0.9441379914193153,0.9393675407265442
6.999761051373954,0.9392445898113715,0.9372664870970545,0.9444882234480343,0.9408634976013954
8.0,0.9421121017966755,0.9429720983119041,0.9439628754049558,0.9434672267436772
8.999761051373955,0.9428737846677718,0.9470391258371519,0.9409859031608441,0.944002810839299
9.997610513739547,0.9429633944173126,0.9450096474302754,0.9434375273618772,0.944222933006178
9.997610513739547,0.9421121017966755,0.9429720983119041,0.9439628754049558,0.9434672267436772
