epoch,accuracy,precision,recall,f1
0.9995222169135213,0.8426900846812133,0.8516805975457941,0.8386305927677086,0.8451052190408964
2.0,0.9093597383395313,0.9094632276054374,0.9138429209351195,0.9116478141241211
2.999522216913521,0.9305972489806891,0.9323756131744919,0.9319674284213292,0.932171476113325
4.0,0.9353913705811192,0.9281730026602591,0.9470274056562472,0.9375054173528646
4.999522216913522,0.9405887360544827,0.9379609544468547,0.9465020576131687,0.9422121502658416
6.0,0.9412608091760384,0.9340546110252447,0.9524560021013921,0.9431655611913122
6.999522216913522,0.9416192481742014,0.9429947460595447,0.9429121793187987,0.9429534608817478
8.0,0.9429185895425423,0.9393021040782752,0.9498292618859995,0.9445363517631693
8.99952221691352,0.9435458577893274,0.9435955644809221,0.9462393835916294,0.9449156247267639
9.995222169135213,0.9429185895425423,0.9408289165001303,0.9480781017424044,0.9444395987788923
9.995222169135213,0.9429185895425423,0.9393021040782752,0.9498292618859995,0.9445363517631693
