epoch,accuracy,precision,recall,f1
1.0,0.8358797437161163,0.8784390243902439,0.7883722966465283,0.8309722670850445
2.0,0.8986513732694117,0.9089204393249397,0.8912529550827423,0.8999999999999998
3.0,0.9110175187060352,0.9490718705378391,0.8729533315821731,0.9094226033020159
4.0,0.9315829562256374,0.9306232590529248,0.9360826547587777,0.9333449735911651
5.0,0.9335991755903043,0.944062192833527,0.9250503458541284,0.9344595789846101
6.0,0.9382588825664232,0.9450500753345742,0.9336310305577445,0.9393058491895702
7.0,0.9379004435682602,0.9407114624505929,0.9377462568951931,0.9392265193370165
8.0,0.9396030288095345,0.9363250454821104,0.9463269415988093,0.9412994251872496
9.0,0.9411263945517272,0.9453600070503216,0.939234743017249,0.9422874209416725
9.0,0.9382588825664232,0.9450500753345742,0.9336310305577445,0.9393058491895702
