epoch,accuracy,precision,recall,f1
1.0,0.8394641336977463,0.8818943675696745,0.7923999649767971,0.8347553382834478
2.0,0.8846274474662843,0.9270129368603978,0.8407319849400228,0.8817668396161441
3.0,0.9149155428110578,0.9269955156950672,0.9049995622099641,0.9158654911169198
4.0,0.9263407858775035,0.9280273180982401,0.9280273180982401,0.9280273180982401
5.0,0.9294771271114297,0.9352842365838564,0.9262761579546449,0.9307584022523314
6.0,0.9323894439715041,0.9240972103371555,0.9455389195341914,0.9346951140347082
7.0,0.9341368340875488,0.9299230968633889,0.9422992732685405,0.9360702792032705
8.0,0.9354361754558896,0.9327089836975373,0.9417739252254619,0.9372195355726921
9.0,0.9370043460728528,0.9406071271447426,0.935995096751598,0.9382954445712278
10.0,0.9378108338187194,0.9394656154183092,0.9389720689957096,0.9392187773690663
10.0,0.9378108338187194,0.9394656154183092,0.9389720689957096,0.9392187773690663
